ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	BOR_ID_0	BOR_FAM_0	SOURCE_LANGUAGE	SOURCE_ID
1670	Portuguese	Indo-European	ABSTAIN FROM FOOD	jejuar	jejuar	ʒ e ʒ u a ʁ			3 7 3 7 7 5	AXBYYN	SESYAR	4	4.S.C 4.E.V 4.S.C 4.Y.V 4.A.V 4.R.c	2.0 1.5 1.75 1.3 1.3 0.8	ʒeʒuaʁ	0	0	3-Indo-European		
3438	Spanish	Indo-European	ABSTAIN FROM FOOD	ayunar	ayunar	a ʝ u n a ɾ			7 3 7 4 7 5	XBYBYN	ASYNAR	6	6.A.V 6.S.C 6.Y.V 6.N.C 6.A.V 6.R.c	1.5 1.75 1.3 1.75 1.3 0.8	aʝunaɾ	0	0	3-Indo-European		
4875	Yaqui	Uto-Aztecan	ABSTAIN FROM FOOD	kaa jibwa	kaa_jibwa	k aː + j i bʷ a			1 7 9 6 7 1 7	AX_AXBZ	KA_JIPA	8	8.K.C 8.A.V 8._._ 8.J.C 8.I.V 8.P.C 8.A.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	kaː+jibʷa	0	0	7-Uto-Aztecan		
6140	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	ch’abah	ch’abah	tʃʼ a ɓ a h			1 7 1 7 3	AXBYN	TAPAH	9	9.T.C 9.A.V 9.P.C 9.A.V 9.H.c	2.0 1.5 1.75 1.3 0.8	tʃʼaɓah	0	0	8-Mayan		
6141	ZinacantanTzotzil	Mayan	ABSTAIN FROM FOOD	tz’ikbail	tz’ikbail	tsʼ i k ɓ a i l			1 7 1 1 7 7 5	AXMBYYN	TIKPAIL	9	9.T.C 9.I.V 9.K.c 9.P.C 9.A.V 9.I.V 9.L.c	2.0 1.5 1.1 1.75 1.3 1.3 0.8	tsʼikɓail	0	0	11-Mayan		
7909	Qeqchi	Mayan	ABSTAIN FROM FOOD	kuyuk sa’	kuyuk_sa’	k u j u k + s a ʔ			1 7 6 7 1 9 3 7 1	AXBYN_AXN	KYJYK_SAH	5	5.K.C 5.Y.V 5.J.C 5.Y.V 5.K.c 5._._ 5.S.C 5.A.V 5.H.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	kujuk+saʔ	0	0	4-Mayan		
7910	Qeqchi	Mayan	ABSTAIN FROM FOOD	ayuunink rix	ayuunink_rix	a j uː n i n k + ɾ i ʃ	Spanish	ayunar	7 6 7 4 7 4 1 9 5 7 3	XBYBYLN_AXN	AJYNINK_RIS	5	5.A.V 5.J.C 5.Y.V 5.N.C 5.I.V 5.N.c 5.K.c 5._._ 5.R.C 5.I.V 5.S.c	1.5 1.75 1.3 1.75 1.3 1.1 0.8 0.0 2.0 1.5 0.8	ajuːnink+ɾiʃ	0	0	10-Mayan		
10146	Otomi	Otomanguean	ABSTAIN FROM FOOD	behe	behe	b e h e			1 7 3 7	AXBZ	PEHE	3	3.P.C 3.E.V 3.H.C 3.E.V	2.0 1.5 1.75 0.8	behe	0	0	2-Otomanguean		
10147	Otomi	Otomanguean	ABSTAIN FROM FOOD	o̲t'e ya behe	o̲t'e_ya_behe	ə t̪ʼ e + j a + b e h e			7 1 7 9 6 7 9 1 7 3 7	XBZ_AX_AXBZ	ETE_JA_PEHE	3	3.E.V 3.T.C 3.E.V 3._._ 3.J.C 3.A.V 3._._ 3.P.C 3.E.V 3.H.C 3.E.V	1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5 1.75 0.8	ət̪ʼe+ja+behe	0	0	9-Otomanguean		
11313	ImbaburaQuechua	Quechuan	ABSTAIN FROM FOOD	ayunana	ayunana	a j u n a n a	Spanish	ayunar	7 6 7 4 7 4 7	XBYBYBZ	AJYNANA	1	1.A.V 1.J.C 1.Y.V 1.N.C 1.A.V 1.N.C 1.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ajunana	0	0	1-Quechuan		
